date,행정동,event_type,plan_ids,allocation_event_type,no_event_allocated_volume,allocated_volume_low,allocated_volume_base,allocated_volume_high,allocated_volume,사업체수,시구,세대수,면적 (㎢),주소수,담당 통상배달국명,집배원수,주소밀도,행정동_위도,행정동_경도,담당 우체국명,담당 우체국 공식주소,담당 우체국 위도,담당 우체국 경도,배달국_집배원수,배달국내_주소비율,배달국내_세대비율,배달국내_사업체비율,인력배분비율,면적,no_event_volume_per_courier,volume_per_courier_low,event_added_volume_low,event_added_volume_per_courier_low,volume_per_courier_base,event_added_volume_base,event_added_volume_per_courier_base,volume_per_courier_high,event_added_volume_high,event_added_volume_per_courier_high,volume_per_courier,office_dong_distance_km,sqrt_area_km,no_event_load_score,load_score_low,load_score_base,load_score_high,load_score,distance_score,area_score,relative_lt_risk_index_low,relative_lt_risk_index_base,relative_lt_risk_index_high,no_event_relative_lt_risk_index,event_risk_delta_low,event_risk_delta_base,event_risk_delta_high,relative_lt_risk_index,event_risk_delta,relative_risk_level_low,relative_risk_level_base,relative_risk_level_high,relative_risk_level,daily_priority_rank_low,daily_priority_rank_base,daily_priority_rank_high,daily_priority_rank,event_uplift_rank_low,event_uplift_rank_base,event_uplift_rank_high,event_uplift_rank
2026-01-02,가양1동,없음,없음,없음,745.8164505784589,745.8164505784589,745.8164505784589,745.8164505784589,745.8164505784589,1366,동구,6891,1.03,2473,대전,3.738,2400.9708737864075,36.34322301192842,127.44313464778686,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.09617,0.063223,0.056582,0.060298,1.03,199.52,199.52,0.0,0.0,199.52,0.0,0.0,199.52,0.0,0.0,199.52,1.792,1.015,57.043,57.043,57.043,57.043,57.043,27.16,25.926,47.955,47.955,47.955,47.955,0.0,0.0,0.0,47.955,0.0,Normal,Normal,Normal,Normal,66,66,66,66,,,,
2026-01-02,가양2동,없음,없음,없음,1039.2421947682844,1039.2421947682844,1039.2421947682844,1039.2421947682844,1039.2421947682844,1863,동구,9766,1.68,2120,대전,5.169,1261.904761904762,36.34844195921923,127.45406473342942,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.082442,0.0896,0.077168,0.083367,1.68,201.05,201.05,0.0,0.0,201.05,0.0,0.0,201.05,0.0,0.0,201.05,2.824,1.296,57.584,57.584,57.584,57.584,57.584,51.852,49.383,55.617,55.617,55.617,55.617,0.0,0.0,0.0,55.617,0.0,Normal,Normal,Normal,Normal,42,42,42,42,,,,
2026-01-02,용전동,없음,없음,없음,1309.108132668663,1309.108132668663,1309.108132668663,1309.108132668663,1309.108132668663,2478,동구,11770,1.2,1801,대전,6.505,1500.8333333333337,36.35408965503487,127.43427686988466,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.070037,0.107986,0.102643,0.104923,1.2,201.25,201.25,0.0,0.0,201.25,0.0,0.0,201.25,0.0,0.0,201.25,2.796,1.095,57.642,57.642,57.642,57.642,57.642,49.383,33.951,53.621,53.621,53.621,53.621,0.0,0.0,0.0,53.621,0.0,Normal,Normal,Normal,Normal,46,46,46,46,,,,
2026-01-02,성남동,없음,없음,없음,600.3645935197263,600.3645935197263,600.3645935197263,600.3645935197263,600.3645935197263,1164,동구,5286,0.83,1393,대전,3.002,1678.3132530120483,36.3438359096628,127.43324655677736,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.054171,0.048497,0.048215,0.04842,0.83,199.99,199.99,0.0,0.0,199.99,0.0,0.0,199.99,0.0,0.0,199.99,1.657,0.911,57.186,57.186,57.186,57.186,57.186,23.457,19.753,46.697,46.697,46.697,46.697,0.0,0.0,0.0,46.697,0.0,Normal,Normal,Normal,Normal,70,70,70,70,,,,
2026-01-02,홍도동,없음,없음,없음,642.3708943390887,642.3708943390887,642.3708943390887,642.3708943390887,642.3708943390887,1109,동구,6209,0.63,1071,대전,3.183,1700.0,36.34812922119385,127.42576115402429,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.041649,0.056965,0.045937,0.051338,0.63,201.81,201.81,0.0,0.0,201.81,0.0,0.0,201.81,0.0,0.0,201.81,2.253,0.794,57.829,57.829,57.829,57.829,57.829,43.21,4.938,49.616,49.616,49.616,49.616,0.0,0.0,0.0,49.616,0.0,Normal,Normal,Normal,Normal,60,60,60,60,,,,
2026-01-02,삼성동,없음,없음,없음,877.8598243622981,877.8598243622981,877.8598243622981,877.8598243622981,877.8598243622981,2022,동구,6432,1.31,2447,대전,4.443,1867.9389312977096,36.3387751804416,127.42531778053282,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.095158,0.059011,0.083754,0.071657,1.31,197.58,197.58,0.0,0.0,197.58,0.0,0.0,197.58,0.0,0.0,197.58,1.334,1.145,56.335,56.335,56.335,56.335,56.335,19.753,39.506,47.336,47.336,47.336,47.336,0.0,0.0,0.0,47.336,0.0,Normal,Normal,Normal,Normal,67,67,67,67,,,,
2026-01-02,대청동,없음,없음,없음,127.89098464336989,127.89098464336989,127.89098464336989,127.89098464336989,127.89098464336989,227,동구,1211,63.59,1305,대전,0.663,20.522094668973107,36.36963029740453,127.49217981860151,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.050749,0.01111,0.009403,0.010701,63.59,192.9,192.9,0.0,0.0,192.9,0.0,0.0,192.9,0.0,0.0,192.9,6.91,7.974,54.674,54.674,54.674,54.674,54.674,81.481,100.0,64.568,64.568,64.568,64.568,0.0,0.0,0.0,64.568,0.0,Normal,Normal,Normal,Normal,15,15,15,15,,,,
2026-01-02,산내동,없음,없음,없음,1044.0286501074283,1044.0286501074283,1044.0286501074283,1044.0286501074283,1044.0286501074283,2247,동구,8289,50.42,2482,대전,5.251,49.226497421658074,36.24934161075709,127.46264937980769,대전우체국,대전광역시 동구 대전로 757,36.3289462,127.433855,62,0.09652,0.076049,0.093074,0.084702,50.42,198.82,198.82,0.0,0.0,198.82,0.0,0.0,198.82,0.0,0.0,198.82,9.22,7.101,56.795,56.795,56.795,56.795,56.795,92.593,98.765,68.152,68.152,68.152,68.152,0.0,0.0,0.0,68.152,0.0,Medium,Medium,Medium,Medium,3,3,3,3,,,,
2026-01-02,복수동,없음,없음,없음,906.8067718890693,906.8067718890693,906.8067718890693,906.8067718890693,906.8067718890693,1530,서구,8909,1.78,742,대전둔산,4.446,416.85393258426967,36.30203607567264,127.37681588342411,대전둔산우체국,대전광역시 서구 둔산로 111,36.3518707,127.3862544,125,0.029799,0.041009,0.03026,0.035565,1.78,203.96,203.96,0.0,0.0,203.96,0.0,0.0,203.96,0.0,0.0,203.96,5.606,1.334,58.526,58.526,58.526,58.526,58.526,74.074,53.086,61.092,61.092,61.092,61.092,0.0,0.0,0.0,61.092,0.0,Normal,Normal,Normal,Normal,27,27,27,27,,,,
2026-01-02,도마1동,없음,없음,없음,1104.5883323025816,1104.5883323025816,1104.5883323025816,1104.5883323025816,1104.5883323025816,2140,서구,9732,1.63,2536,대전둔산,5.525,1555.8282208588955,36.31869308760175,127.38169731223252,대전둔산우체국,대전광역시 서구 둔산로 111,36.3518707,127.3862544,125,0.101847,0.044797,0.042324,0.044201,1.63,199.93,199.93,0.0,0.0,199.93,0.0,0.0,199.93,0.0,0.0,199.93,3.712,1.277,57.164,57.164,57.164,57.164,57.164,60.494,46.914,56.805,56.805,56.805,56.805,0.0,0.0,0.0,56.805,0.0,Normal,Normal,Normal,Normal,37,37,37,37,,,,
2026-01-02,도마2동,없음,없음,없음,855.2528038569613,855.2528038569613,855.2528038569613,855.2528038569613,855.2528038569613,1509,서구,8135,1.77,1948,대전둔산,4.267,1100.5649717514125,36.32051768969095,127.36544105632946,대전둔산우체국,대전광역시 서구 둔산로 111,36.3518707,127.3862544,125,0.078233,0.037446,0.029845,0.034132,1.77,200.43,200.43,0.0,0.0,200.43,0.0,0.0,200.43,0.0,0.0,200.43,3.953,1.33,57.336,57.336,57.336,57.336,57.336,62.963,51.852,57.913,57.913,57.913,57.913,0.0,0.0,0.0,57.913,0.0,Normal,Normal,Normal,Normal,33,33,33,33,,,,
2026-01-02,정림동,없음,없음,없음,757.7108724059452,757.7108724059452,757.7108724059452,757.7108724059452,757.7108724059452,1444,서구,6773,6.04,938,대전둔산,3.744,155.2980132450331,36.2942818883227,127.36594968910964,대전둔산우체국,대전광역시 서구 둔산로 111,36.3518707,127.3862544,125,0.037671,0.031177,0.028559,0.029952,6.04,202.38,202.38,0.0,0.0,202.38,0.0,0.0,202.38,0.0,0.0,202.38,6.657,2.458,58.0,58.0,58.0,58.0,58.0,80.247,79.012,64.551,64.551,64.551,64.551,0.0,0.0,0.0,64.551,0.0,Normal,Normal,Normal,Normal,16,16,16,16,,,,
2026-01-02,변동,없음,없음,없음,876.9223812920291,876.9223812920291,876.9223812920291,876.9223812920291,876.9223812920291,1992,서구,6538,1.48,2306,대전둔산,4.423,1558.108108108108,36.328007494086265,127.38031550817612,대전둔산우체국,대전광역시 서구 둔산로 111,36.3518707,127.3862544,125,0.09261,0.030095,0.039397,0.035387,1.48,198.26,198.26,0.0,0.0,198.26,0.0,0.0,198.26,0.0,0.0,198.26,2.706,1.217,56.602,56.602,56.602,56.602,56.602,48.148,41.975,53.448,53.448,53.448,53.448,0.0,0.0,0.0,53.448,0.0,Normal,Normal,Normal,Normal,47,47,47,47,,,,
2026-01-02,용문동,없음,없음,없음,748.5410195662377,748.5410195662377,748.5410195662377,748.5410195662377,748.5410195662377,1318,서구,7131,1.01,1131,대전둔산,3.702,1119.8019801980197,36.33881252746284,127.3984704509078,대전둔산우체국,대전광역시 서구 둔산로 111,36.3518707,127.3862544,125,0.045422,0.032825,0.026067,0.029618,1.01,202.2,202.2,0.0,0.0,202.2,0.0,0.0,202.2,0.0,0.0,202.2,1.818,1.005,57.964,57.964,57.964,57.964,57.964,29.63,24.691,48.97,48.97,48.97,48.97,0.0,0.0,0.0,48.97,0.0,Normal,Normal,Normal,Normal,63,63,63,63,,,,
