date,시구,행정동,담당 우체국명,event_type,allocation_event_type,plan_ids,집배원수,세대수,사업체수,면적 (㎢),행정동_위도,행정동_경도,담당 우체국 위도,담당 우체국 경도,office_dong_distance_km,no_event_allocated_volume,allocated_volume_low,allocated_volume_base,allocated_volume_high,event_added_volume_base,no_event_volume_per_courier,volume_per_courier_low,volume_per_courier_base,volume_per_courier_high,event_added_volume_per_courier_base,no_event_load_score,load_score_base,distance_score,area_score,no_event_relative_lt_risk_index,relative_lt_risk_index_low,relative_lt_risk_index_base,relative_lt_risk_index_high,event_risk_delta_low,event_risk_delta_base,event_risk_delta_high,relative_risk_level_low,relative_risk_level_base,relative_risk_level_high,daily_priority_rank_low,daily_priority_rank_base,daily_priority_rank_high,event_uplift_rank_low,event_uplift_rank_base,event_uplift_rank_high
2026-01-02,서구,도안동,대전둔산우체국,없음,없음,없음,7.969,13976,3223,5.23,36.31822837871561,127.34785761297572,36.3518707,127.3862544,5.082,1622.720813239144,1622.720813239144,1622.720813239144,1622.720813239144,0.0,203.63,203.63,203.63,203.63,0.0,58.413,58.413,67.901,75.309,62.0,62.0,62.0,62.0,0.0,0.0,0.0,Normal,Normal,Normal,24,24,24,,,
2026-01-02,중구,석교동,서대전우체국,없음,없음,없음,4.046,7609,1480,4.32,36.30178687806585,127.44127878535711,36.3344823,127.3979405,5.319,816.634342634041,816.634342634041,816.634342634041,816.634342634041,0.0,201.84,201.84,201.84,201.84,0.0,57.847,57.847,69.136,70.37,61.357,61.357,61.357,61.357,0.0,0.0,0.0,Normal,Normal,Normal,25,25,25,,,
2026-01-02,대덕구,법2동,대전대덕우체국,없음,없음,없음,3.268,6753,910,1.92,36.3742416417714,127.4367092870571,36.4474738,127.4003943,8.768,626.6034417193723,626.6034417193723,626.6034417193723,626.6034417193723,0.0,191.74,191.74,191.74,191.74,0.0,54.356,54.356,88.889,54.321,61.259,61.259,61.259,61.259,0.0,0.0,0.0,Normal,Normal,Normal,26,26,26,,,
2026-01-02,서구,복수동,대전둔산우체국,없음,없음,없음,4.446,8909,1530,1.78,36.30203607567264,127.37681588342411,36.3518707,127.3862544,5.606,906.8067718890693,906.8067718890693,906.8067718890693,906.8067718890693,0.0,203.96,203.96,203.96,203.96,0.0,58.526,58.526,74.074,53.086,61.092,61.092,61.092,61.092,0.0,0.0,0.0,Normal,Normal,Normal,27,27,27,,,
2026-01-02,동구,판암1동,대전우체국,없음,없음,없음,2.758,5981,835,5.36,36.31738327042319,127.46931161511564,36.3289462,127.433855,3.427,562.0327945193095,562.0327945193095,562.0327945193095,562.0327945193095,0.0,203.78,203.78,203.78,203.78,0.0,58.46,58.46,59.259,76.543,60.428,60.428,60.428,60.428,0.0,0.0,0.0,Normal,Normal,Normal,28,28,28,,,
2026-01-02,서구,관저1동,대전둔산우체국,없음,없음,없음,3.367,6622,1202,1.06,36.30749088879059,127.33870922869716,36.3518707,127.3862544,6.519,689.7780021011733,689.7780021011733,689.7780021011733,689.7780021011733,0.0,204.86,204.86,204.86,204.86,0.0,58.738,58.738,79.012,27.16,59.635,59.635,59.635,59.635,0.0,0.0,0.0,Normal,Normal,Normal,29,29,29,,,
2026-01-02,대덕구,덕암동,대전대덕우체국,없음,없음,없음,4.812,6654,2321,6.24,36.43111934375323,127.428254440318,36.4474738,127.4003943,3.085,963.9196856485503,963.9196856485503,963.9196856485503,963.9196856485503,0.0,200.32,200.32,200.32,200.32,0.0,57.31,57.31,55.556,80.247,59.253,59.253,59.253,59.253,0.0,0.0,0.0,Normal,Normal,Normal,30,30,30,,,
2026-01-02,중구,대사동,서대전우체국,없음,없음,없음,2.106,3259,969,2.02,36.31054276066311,127.42202225281456,36.3344823,127.3979405,3.426,431.2927763901294,431.2927763901294,431.2927763901294,431.2927763901294,0.0,204.79,204.79,204.79,204.79,0.0,58.709,58.709,58.025,56.79,58.38,58.38,58.38,58.38,0.0,0.0,0.0,Normal,Normal,Normal,31,31,31,,,
2026-01-02,중구,문화1동,서대전우체국,없음,없음,없음,4.123,8407,1398,2.17,36.309175199402056,127.41259599792038,36.3344823,127.3979405,3.105,844.5714485366651,844.5714485366651,844.5714485366651,844.5714485366651,0.0,204.84,204.84,204.84,204.84,0.0,58.727,58.727,56.79,58.025,58.269,58.269,58.269,58.269,0.0,0.0,0.0,Normal,Normal,Normal,32,32,32,,,
2026-01-02,서구,도마2동,대전둔산우체국,없음,없음,없음,4.267,8135,1509,1.77,36.32051768969095,127.36544105632946,36.3518707,127.3862544,3.953,855.2528038569613,855.2528038569613,855.2528038569613,855.2528038569613,0.0,200.43,200.43,200.43,200.43,0.0,57.336,57.336,62.963,51.852,57.913,57.913,57.913,57.913,0.0,0.0,0.0,Normal,Normal,Normal,33,33,33,,,
